Instrument,Indicator,N non-missing,% missing,Mean,Median,SD,IQR,Observed minimum,Observed maximum,Primary cutoff,Secondary cutoff,% >= primary cutoff,% in secondary manual region,Shapiro-Wilk p,D'Agostino-Pearson p,Normality flag,Tie proportion (%),KDE peak,Compression Index (CI),Threshold Density Ratio (TDR) primary,Threshold Density Ratio (TDR) secondary,Variance homogeneity check
BDI-II,BDI-II,347,0.0,17.034582132564843,15.0,9.41735960295433,14.0,1.0,42.0,29.0,20.0,13.544668587896252,22.478386167146976,1.4785268565020715e-09,6.110929803447887e-06,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",99.13544668587896,10.570892723180794,0.1025982445933976,0.13999062959257982,0.215094249264351,Not applicable at indicator-only stage
MM-CGI-SF,MMCGI-HSL,347,0.0,21.161383285302595,21.0,4.572145666978102,7.0,9.0,29.0,25.2,,19.30835734870317,,1.9483390133245848e-05,0.0005914238831504723,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",100.0,21.267816954238562,0.004434736205665295,0.21441556498913986,,Not applicable at indicator-only stage
MM-CGI-SF,MMCGI-PSB,347,0.0,21.288184438040346,22.0,4.66359085278553,7.0,8.0,29.0,25.5,,21.037463976945244,,8.584871125094651e-08,0.0003210924096168986,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",99.42363112391931,23.218304576144035,0.08042167242098704,0.20649311303709894,,Not applicable at indicator-only stage
MM-CGI-SF,MMCGI-WFI,347,0.0,18.077809798270895,17.0,5.485371806876222,9.0,8.0,29.0,21.8,,32.27665706051873,,5.779898870628131e-08,4.120399549242624e-18,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",100.0,13.699924981245312,0.18241186737606596,0.2833274875293446,,Not applicable at indicator-only stage
PANAS,PANAS-NA,347,0.0,22.89337175792507,22.0,6.879023731615187,11.0,12.0,44.0,24.0,,42.07492795389049,,9.298614322972298e-09,4.0333406793665534e-05,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",99.42363112391931,19.99249812453113,0.07252184083484847,0.3996724176829094,,Not applicable at indicator-only stage
PANAS,PANAS-PA Severity_Aligned,347,0.0,29.59942363112392,30.0,7.086851760473849,9.5,14.0,46.0,32.9,,35.158501440922194,,0.012167763896286488,0.015181529873879135,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",99.71181556195965,30.125031257814452,0.01314019066726333,0.33475781940107013,,Not applicable at indicator-only stage
ZBI,ZBI,347,0.0,43.42363112391931,44.0,15.602979393935744,23.0,12.0,84.0,61.0,41.0,12.968299711815561,42.93948126801153,0.004602808505296707,0.02774870665503329,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",97.40634005763688,52.747186796699175,0.10594949628158941,0.14039650177642105,0.41336619931284807,Not applicable at indicator-only stage
