Instrument,Indicator,N total,N non-missing,N missing,% missing,Scale minimum,Scale maximum,Observed minimum,Observed maximum,Mean,Median,SD,Q1,Q3,IQR,Skewness,Kurtosis,Shapiro-Wilk p,D'Agostino-Pearson p,Normality flag,Unique values,Tie proportion (%),IQR mild outliers n,IQR mild outliers %,IQR extreme outliers n,IQR extreme outliers %,Primary cutoff,Secondary cutoff,% >= primary cutoff,% in secondary manual region,Floor-near occupancy (%),Ceiling-near occupancy (%),KDE peak,Compression Index (CI),Threshold Density Ratio (TDR) primary,Threshold Density Ratio (TDR) secondary,Variance homogeneity check,Manual note
BDI-II,BDI-II,347,347,0,0.0,0.0,63.0,1.0,42.0,17.034582132564843,15.0,9.41735960295433,10.0,24.0,14.0,0.6070428697037001,-0.4652348906650885,1.4785268565020715e-09,6.110929803447887e-06,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",38,99.13544668587896,0,0.0,0,0.0,29.0,20.0,13.544668587896252,22.478386167146976,1.440922190201729,0.0,10.570892723180794,0.1025982445933976,0.13999062959257982,0.215094249264351,Not applicable at indicator-only stage,"Official manual cutoff. BDI-II severity bands: minimal 0-13, mild 14-19, moderate 20-28, severe 29-63."
MM-CGI-SF,MMCGI-HSL,347,347,0,0.0,6.0,30.0,9.0,29.0,21.161383285302595,21.0,4.572145666978102,18.0,25.0,7.0,-0.26743965996699626,-0.6067358318449667,1.9483390133245848e-05,0.0005914238831504723,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",21,100.0,0,0.0,0,0.0,25.2,,19.30835734870317,,0.0,3.170028818443804,21.267816954238562,0.004434736205665295,0.21441556498913986,,Not applicable at indicator-only stage,MM-CGI HSL high-zone threshold: M+1SD = 20.2 + 5.0 = 25.2 (Marwit & Meuser 2005; n=292).
MM-CGI-SF,MMCGI-PSB,347,347,0,0.0,6.0,30.0,8.0,29.0,21.288184438040346,22.0,4.66359085278553,18.0,25.0,7.0,-0.48355439103839376,-0.40475448608986486,8.584871125094651e-08,0.0003210924096168986,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",22,99.42363112391931,0,0.0,0,0.0,25.5,,21.037463976945244,,0.0,1.1527377521613833,23.218304576144035,0.08042167242098704,0.20649311303709894,,Not applicable at indicator-only stage,MM-CGI PSB high-zone threshold: M+1SD = 20.2 + 5.3 = 25.5 (Marwit & Meuser 2005; n=292).
MM-CGI-SF,MMCGI-WFI,347,347,0,0.0,6.0,30.0,8.0,29.0,18.077809798270895,17.0,5.485371806876222,13.0,22.0,9.0,0.2070612337603159,-1.0309657574139364,5.779898870628131e-08,4.120399549242624e-18,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",22,100.0,0,0.0,0,0.0,21.8,,32.27665706051873,,0.0,1.729106628242075,13.699924981245312,0.18241186737606596,0.2833274875293446,,Not applicable at indicator-only stage,MM-CGI WFI high-zone threshold: M+1SD = 16.6 + 5.2 = 21.8 (Marwit & Meuser 2005; n=292).
PANAS,PANAS-NA,347,347,0,0.0,10.0,50.0,12.0,44.0,22.89337175792507,22.0,6.879023731615187,17.0,28.0,11.0,0.5282384113909749,-0.47776408407700544,9.298614322972298e-09,4.0333406793665534e-05,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",29,99.42363112391931,0,0.0,0,0.0,24.0,,42.07492795389049,,2.3054755043227666,0.0,19.99249812453113,0.07252184083484847,0.3996724176829094,,Not applicable at indicator-only stage,"No official PANAS cutoff. Threshold 24.0 = M+1SD of NA norms (M=18.1, SD=5.9; Watson, Clark, & Tellegen, 1988, Table 1, in general instructions, n=660). Externally derived normative reference; not a clinical cutoff."
PANAS,PANAS-PA Severity_Aligned,347,347,0,0.0,10.0,50.0,14.0,46.0,29.59942363112392,30.0,7.086851760473849,25.0,34.5,9.5,0.0505235252554936,-0.5547994417299633,0.012167763896286488,0.015181529873879135,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",33,99.71181556195965,0,0.0,0,0.0,32.9,,35.158501440922194,,0.0,0.0,30.125031257814452,0.01314019066726333,0.33475781940107013,,Not applicable at indicator-only stage,"No official PANAS cutoff. Reverse-scored PA [aligned = 60 - original PA(27.1)]. Threshold 32.9 = M+1SD of aligned norms (aligned M=25.0, SD=7.9; Watson, Clark, & Tellegen, 1988, Table 1, 'in general' instructions, n=660). Externally derived normative reference; not a clinical cutoff."
ZBI,ZBI,347,347,0,0.0,0.0,88.0,12.0,84.0,43.42363112391931,44.0,15.602979393935744,32.0,55.0,23.0,0.004939985355210587,-0.5290696118167877,0.004602808505296707,0.02774870665503329,"Non-normal (Shapiro-Wilk, D'Agostino-Pearson)",65,97.40634005763688,0,0.0,0,0.0,61.0,41.0,12.968299711815561,42.93948126801153,0.0,0.2881844380403458,52.747186796699175,0.10594949628158941,0.14039650177642105,0.41336619931284807,Not applicable at indicator-only stage,"Manual cutoff (≥61: Zarit & Zarit, 1987). Full 4-band classification: little/no 0-20, mild-moderate 21-40, moderate-severe 41-60, severe 61-88 (Zarit & Zarit, 1987; cited in Brown et al., 1990; Cummings et al., 2002)."
